FID,FACILITYID,FACLAT,FATLONG,FATNAME,ExI,noisef,Soundlvl,remoteness,lux,Lightness,Miles,,,
12846,245836,38.72589947,-106.7687489,Granite Tent Campground - Gunnison RD,1.64855,0.05,1,2,11,0,13.5699997,,,
1606,233004,56.64305556,-133.2588889,CASTLE RIVER CABIN,0,0,0,3,8,0,13.5600004,,,
4455,236090,46.04105,-110.23813,Halfmoon Campground,2.19406,0.07,2,3,7,0,13.5600004,,,
8238,240676,45.93763,-115.62175,Table Meadows,1.85281,0.06,1,2,6,0,13.5600004,,,
12411,245330,37.93,-111.82,Joe Lay Reservoir,0.09172,0,0,2,8,0,13.5600004,,,
16564,250195,30.1763,-84.6751,Porter Lake,0.69003,0.02,0,2,9,0,13.5600004,,,
2747,234155,42.625,-124.125,BALD KNOB LOOKOUT,0,0,0,3,7,0,13.5500002,,,
4303,235854,45.0843,-121.921261,Shellrock Creek Campground,1.27693,0.04,1,3,7,0,13.5500002,,,
15586,249189,36.07203569,-106.6302041,Coyote Canyon Camping Area,2.53165,0.08,2,2,10,0,13.5500002,,,
16476,250107,43.272581,-122.4081,Toketee Lake Boating Site,1.73519,0.05,1,2,12,0,13.5500002,,,
17709,251360,43.27361111,-122.4038889,TOKETEE GROUP SITE,1.73519,0.05,1,2,12,0,13.5500002,,,
44,202091,44.09495,-114.18173,Herd Lake Campground,2.07255,0.06,1,3,13,0,13.54,,,
11803,244611,45.905407,-121.703346,Trailhead: Little Huckleberry,0.81848,0.03,1,2,6,0,13.54,,,
12042,244883,37.3484565,-105.0248313,Cordova Pass Picnic Area and Campground,1.44488,0.05,1,2,9,0,13.54,,,
454,231844,41.375,-106.2513889,BROOKLYN LAKE,1.89185,0.06,1,3,8,0,13.5299997,,,
4171,235670,41.34832454,-106.2167809,Green Rock Picnic Site,3.80798,0.12,2,3,8,0,13.5299997,,,
7872,240272,44.7354,-116.8281,Weiser RD,4.24385,0.13,2,3,11,0,13.5299997,,,
8586,241056,47.730918,-91.011709,Timber-Frear Canoe Route,1.51645,0.05,1,3,6,0,13.5299997,,,
16530,250161,43.272485,-122.407,Toketee Lake Picnic Site,1.73519,0.05,1,2,12,0,13.5299997,,,
16474,250105,43.272395,-122.40702,Toketee Lake Group Campground,1.73519,0.05,1,2,12,0,13.5200005,,,
16536,250167,43.272395,-122.40702,Toketee Campground,1.73519,0.05,1,2,12,0,13.5200005,,,
17794,251445,39.745,-120.9875,LITTLE BEAVER A CAMPGROUND,0.34754,0.01,0,2,9,0,13.5200005,,,
17795,251446,39.745,-120.9875,WYANDOTTE A CAMPGROUND,0.34754,0.01,0,2,9,0,13.5200005,,,
2737,234145,45.11888889,-119.3463889,DITCH CREEK GUARD STATION CAB,0.74788,0.02,0,3,10,0,13.5100002,,,
4013,235495,41.04050454,-106.8911537,Hog Park Picnic Site,1.02988,0.03,1,2,9,0,13.5100002,,,
11524,244293,43.8141,-122.036,Erma Bell Trailhead,1.04857,0.03,1,2,8,0,13.5100002,,,
12472,245411,37.927,-111.825,Barker Lakes Loop,0,0,0,2,8,0,13.5100002,,,
1619,233017,56.54805556,-133.1872222,KAH SHEETS LAKE CABIN,0,0,0,3,7,0,13.5,,,
2399,233804,37.96777778,-105.0672222,PONDEROSA GROUP - LAKE ISABEL,0.62318,0.02,0,3,8,0,13.5,,,
2400,233805,37.96777778,-105.0672222,SPRUCE GROUP - LAKE ISABEL,0.62318,0.02,0,3,8,0,13.5,,,
7541,239907,44.59849195,-114.4679665,Twin Peaks Campsite,2.63635,0.08,2,3,15,0,13.5,,,
15183,248768,39.120029,-120.436573,Poppy Campground,1.14257,0.04,1,2,10,0,13.5,,,
17092,250731,42.60008054,-122.3235894,Parker Meadows Campground,0.77996,0.02,0,2,9,0,13.5,,,
4284,235815,44.935456,-122.170286,Bagby Hot Springs Picnic Site,0.98785,0.03,1,2,6,0,13.4899998,,,
13086,246109,45.95774119,-117.969628,Deduct Trailhead,2.06147,0.06,1,2,9,0,13.4899998,,,
554,231944,40.57833333,-111.0258333,SOAPSTONE,5.10825,0.16,2,3,8,0,13.4799995,,,
13236,246274,42.71395196,-122.1322146,Sevenmile Equestrian Trailhead Horse Camp,0.11095,0,0,3,7,0,13.4799995,,,
676,232066,37.98444444,-105.0594444,LA VISTA CAMPGROUND - LAKE ISABEL,3.31275,0.1,2,3,9,0,13.4700003,,,
3847,235312,48.06805918,-121.5145124,Big Four Picnic Area,1.34953,0.04,1,2,6,0,13.4700003,,,
5879,237951,34.32491078,-111.8352485,Salt Flat Trailhead,0.68432,0.02,0,3,13,0,13.4700003,,,
7903,240310,44.7381314,-116.81996,Brownlee Campground,1.07453,0.03,1,3,9,0,13.4700003,,,
4160,235652,41.32006145,-106.1652227,Libby Creek Pine Campground,3.07597,0.1,2,2,9,0,13.46,,,
10870,243571,37.10947139,-118.965077,Voyager Rock Camping Area,0.58107,0.02,0,3,11,0,13.46,,,
4170,235669,41.31925045,-106.1640851,Libby Creek Fir Picnic Site,0.13831,0,0,2,9,0,13.4499998,,,
8634,241106,40.69512266,-105.4473358,Dutch George Flats Campground,3.24475,0.1,2,3,17,0,13.4499998,,,
12023,244860,38.827694,-106.409278,Cottonwood Pass Summit,1.11656,0.03,1,3,15,0,13.4499998,,,
12807,245795,39.04661687,-108.0907962,Glacier Springs Picnic Site,3.79954,0.12,2,3,8,0,13.4499998,,,
3359,234771,42.70095833,-111.1988972,Diamond Creek Guard Station,3.08394,0.1,2,3,11,0,13.4399996,,,
16477,250108,43.31824,-122.096113,Kelsay Valley Campground / Trailhead,1.41295,0.04,1,2,10,0,13.4399996,,,
6429,238564,39.478307,-106.72785,Crooked Creek Pass / Sylvan Lake,1.03372,0.03,1,2,8,0,13.4300003,,,
15162,248737,39.110833,-120.428333,French Meadows Boat Ramp,1.52309,0.05,1,2,9,0,13.4300003,,,
9193,241685,33.87351389,-109.4276917,Big Lake South Cove Boating Site,1.02273,0.03,1,2,8,0,13.4200001,,,
4293,235828,45.123431,-121.967281,Hideaway Lake Campground,1.35372,0.04,1,2,8,0,13.4099998,,,
7511,239873,45.24444444,-109.7341667,Mystic Lake Trailhead,2.76504,0.09,2,3,9,0,13.4099998,,,
12047,244890,37.98243887,-105.0590614,Lake Isabel Picnic and Day Use Area (Southside),3.31275,0.1,2,3,9,0,13.4099998,,,
13695,246999,41.291544,-111.633282,Willows Campground,5.39841,0.17,2,2,14,0,13.4099998,,,
4796,236606,40.76166667,-109.9116667,Chepeta Lake Trailhead,1.87269,0.06,1,3,15,0,13.3999996,,,
10929,243637,37.017546,-118.973181,Helms Picnic Site,1.24728,0.04,1,2,12,0,13.3999996,,,
16487,250118,43.264084,-122.427475,Toketee Falls Trailhead,4.02686,0.13,2,2,6,0,13.3999996,,,
3731,235157,38.547927,-111.436823,Morrell CUA Dispersed,2.08765,0.07,2,2,17,0,13.3900003,,,
15503,249105,35.70475654,-105.4347389,Oak Flats Picnic Site,1.74903,0.05,1,3,13,0,13.3900003,,,
4600,236313,55.5896,-131.6203,Naha Bay Dock Picnic Site,0,0,0,3,6,0,13.3800001,,,
7646,240027,39.095512,-111.473077,Emery Reservoir,0.1657,0.01,0,3,13,0,13.3800001,,,
17652,251303,43.8106,-122.021,Helen Lake Trailhead,0.50304,0.02,0,2,13,0,13.3800001,,,
3418,234832,46.53717,-113.75079,Harry's Flat Campground,1.88645,0.06,1,2,7,0,13.3699999,,,
5135,236971,43.73181,-121.76438,North Twin Boating Site,0.27302,0.01,0,3,9,0,13.3699999,,,
7686,240068,37.770072,-109.822823,Scorup Cabin Documentary Site,0.54218,0.02,0,2,18,0,13.3699999,,,
8224,240661,45.9521,-115.5171,O'Hara Saddle Campground,1.73296,0.05,1,2,8,0,13.3699999,,,
12879,245872,38.84404509,-106.4144666,Timberline Observation Site,1.12779,0.04,1,3,15,0,13.3699999,,,
17006,250644,42.537947,-123.651,China Creek - Chrome Ridge Road Trailhead,0.19783,0.01,0,2,7,0,13.3699999,,,
17657,251308,43.8105,-122.022,Fields Lake Trailhead,0.50304,0.02,0,2,13,0,13.3699999,,,
3934,235400,41.31886246,-106.1611714,Libby Creek Aspen Campground,2.15922,0.07,2,2,9,0,13.3599997,,,
8011,240434,42.69902,-108.92999,Worthen Meadow Campground,0.53218,0.02,0,3,12,0,13.3599997,,,
3984,235455,40.10556083,-106.6828181,Lynx Pass Campground,2.44852,0.08,2,3,12,0,13.3500004,,,
5133,236969,43.7317,-121.764038,North Twin Lake Campground,0.27302,0.01,0,3,9,0,13.3500004,,,
6840,239017,42.69940158,-111.1971385,Diamond Creek Campground,3.08394,0.1,2,3,9,0,13.3500004,,,
12859,245850,38.06316302,-107.4219164,Nellie Creek Trailhead,0.58595,0.02,0,3,14,0,13.3500004,,,
877,232267,39.73527778,-120.9530556,RED FEATHER CALIFORNIA,0,0,0,2,8,0,13.3400002,,,
2323,233728,39.73527778,-120.9530556,RUNNING DEER CAMPGROUND,0,0,0,2,8,0,13.3400002,,,
2324,233729,39.73527778,-120.9530556,HORSE CAMPGROUND,0,0,0,2,8,0,13.3400002,,,
6435,238570,39.480427,-106.73034,Eagle - Thomasville Road #400,1.94911,0.06,1,2,8,0,13.3400002,,,
16871,250504,42.04300975,-123.109758,Dagelma Trailhead,0.14805,0,0,2,9,0,13.3400002,,,
16996,250634,42.03551705,-123.1254947,Tipsu Tyee Campground,0,0,0,2,8,0,13.3400002,,,
711,232101,37.98277778,-105.0575,SOUTHSIDE CAMPGROUND - LAKE ISABEL,3.31275,0.1,2,3,9,0,13.3299999,,,
4226,235743,37.4295,-107.1907,Piedra Picnic Site,1.74404,0.05,1,2,15,0,13.3299999,,,
11197,243915,36.3144,-115.6212,Deer Creek Picnic Site,4.09105,0.13,2,3,15,0,13.3299999,,,
12048,244892,37.98588226,-105.0559422,Lake Isabel North Shore Parking Area,4.1726,0.13,2,3,9,0,13.3299999,,,
986,232376,48.06194444,-121.5741667,Marten Creek Group Camp,0.33497,0.01,0,2,6,0,13.3199997,,,
8012,240435,42.6996,-108.9299,Worthen Meadow Picnic Site,0.53218,0.02,0,3,12,0,13.3199997,,,
10993,243703,44.672516,-118.7996,Lower Camp Creek Campground,0.82907,0.03,1,3,11,0,13.3199997,,,
16463,250094,43.314349,-122.1917,Poole Creek Boating Site,1.35508,0.04,1,2,16,0,13.3199997,,,
985,232375,48.07444444,-121.7183333,Wiley Creek Group Camp,0.95764,0.03,1,2,6,0,13.3100004,,,
12464,245387,37.924,-111.824,Lower Barker Reservoir,0,0,0,2,8,0,13.3100004,,,
13026,246039,44.98514632,-118.5058662,Packsaddle Trailhead,2.37319,0.07,2,2,10,0,13.3100004,,,
1922,233322,43.05230556,-122.6456111,ACKER ROCK LOOKOUT,0,0,0,3,9,0,13.3000002,,,
8673,241147,40.08092301,-105.5352644,Brainard Lake Recreation Area,2.86844,0.09,2,3,8,0,13.3000002,,,
8849,241333,35.86037,-93.45919,Kapark Trailhead,1.50026,0.05,1,3,8,0,13.3000002,,,
13674,246976,41.290907,-111.635696,Upper Meadows Campground,5.25338,0.16,2,2,14,0,13.3000002,,,
15062,248580,46.1206168,-117.50565,Kelly Camp Trailhead,1.76496,0.06,1,3,10,0,13.3000002,,,
16974,250611,42.10165506,-123.3479977,Elk Creek Trailhead,0,0,0,2,7,0,13.3000002,,,
1672,233070,56.66444444,-132.2391667,MOUNT RYNDA CABIN,0,0,0,3,6,0,13.29,,,
2013,233414,37.21583333,-119.9686111,Codorniz Recreation Area Campground,2.28404,0.07,2,2,22,0,13.29,,,
2870,234278,45.92277778,-113.7261111,EAST FORK CABIN,0.95198,0.03,1,3,7,0,13.29,,,
2439,233844,43.54,-111.0391667,TRAIL CREEK,4.61179,0.14,2,3,9,0,13.2799997,,,
3767,235196,38.109785,-111.334938,Wildcat Rest Area and Information Center,4.58352,0.14,2,2,13,0,13.2799997,,,
591,231981,43.31277778,-122.1972222,POOLE CREEK,1.37904,0.04,1,2,16,0,13.2700005,,,
8620,241092,40.63314572,-105.8083352,Big South Campground,4.78989,0.15,2,2,8,0,13.2700005,,,
9439,241937,47.959599,-120.328003,Lone Peak Trailhead,1.06183,0.03,1,3,11,0,13.2700005,,,
15051,248567,46.328489,-114.644519,Elk Summit Campground and Trailhead,2.47149,0.08,2,2,8,0,13.2700005,,,
15456,249058,39.749,-120.99,Tooms Vehicle Camp,0.07317,0,0,2,9,0,13.2700005,,,
1025,232415,39.44277778,-111.2375,INDIAN CREEK (UT),0.80668,0.03,1,3,12,0,13.2600002,,,
1650,233048,57.70333333,-135.7147222,MOSER ISLAND CABIN,0,0,0,3,5,0,13.2600002,,,
3298,234708,33.86893333,-109.4166667,APACHE TROUT CAMPGROUND,2.21466,0.07,2,2,8,0,13.2600002,,,
15807,249411,37.44546364,-106.3627176,Comstock Campground,2.15016,0.07,2,2,9,0,13.2600002,,,
805,232195,33.87222222,-109.4183333,CUTTHROAT,2.32259,0.07,2,2,8,0,13.25,,,
1553,232951,55.39166667,-131.1936111,FISH CREEK CABIN,0,0,0,3,6,0,13.25,,,
11731,244527,45.9089,-121.801,Campground: Crest Camp/Trailhead,1.51812,0.05,1,2,8,0,13.25,,,
11948,244764,39.10855215,-106.5639797,Independence Pass,4.96792,0.16,2,3,14,0,13.25,,,
58,202123,38.00913,-114.2066,Meadow Valley Campground,5.81785,0.18,2,3,16,0,13.2399998,,,
3238,234648,37.4775,-107.5466667,VALLECITO CAMPGROUND,1.17833,0.04,1,2,9,0,13.2399998,,,
4162,235654,41.31919745,-106.1585493,Libby Creek Spruce Campground,4.51113,0.14,2,2,17,0,13.2399998,,,
11201,243919,36.304,-115.61,Robbers Roost Trailhead,6.00122,0.19,2,3,15,0,13.2399998,,,
15219,248817,44.57823248,-104.484106,Blacktail Motorized Trailhead,0.56125,0.02,0,2,9,0,13.2399998,,,
15829,249434,37.04093,-106.45153,Trujillo Meadows Campground,1.79284,0.06,1,2,8,0,13.2299995,,,
13011,246019,44.79662944,-118.60614,Four Corners Campground,0.62555,0.02,0,3,8,0,13.2200003,,,
4571,236268,55.39182,-131.19598,Low Lake/big Lake Trailhead,0,0,0,3,6,0,13.21,,,
4648,236385,57.703028,-135.713472,Moser Island Mooring Buoy,0,0,0,3,5,0,13.21,,,
12639,245620,37.2192,-118.6069,Sabrina Campground,5.13856,0.16,2,2,21,0,13.21,,,
12814,245803,39.00138581,-108.1313998,Raber Cow Camp,2.55595,0.08,2,3,10,0,13.21,,,
12998,246003,44.8981882,-118.707133,Basin Trailhead,0.91155,0.03,1,3,9,0,13.1999998,,,
16480,250111,43.312286,-122.1934,Poole Creek Swimming Site,1.85401,0.06,1,2,16,0,13.1999998,,,
777,232167,36.31194444,-115.6161111,MAHOGANY GROVE,3.92493,0.12,2,3,15,0,13.1899996,,,
9340,241833,46.315967,-113.877037,Palisade Mountain NRT Trailhead,0.51839,0.02,0,3,22,0,13.1899996,,,
10475,243106,44.41073563,-107.3856287,Edelman Trailhead,2.13773,0.07,2,3,11,0,13.1899996,,,
10863,243554,37.41313778,-119.3844946,Lower Chiquito Campground,2.75978,0.09,2,3,11,0,13.1899996,,,
11211,243929,36.3083,-115.6127,North Loop Trailhead,4.5449,0.14,2,3,15,0,13.1899996,,,
12463,245386,37.92,-111.828,Upper Barker Reservoir,0,0,0,2,8,0,13.1899996,,,
17299,250950,43.8662,-122.143,Fisher Creek Trailhead,0.45799,0.01,0,2,6,0,13.1899996,,,
16444,250075,43.31002,-122.2047,Lemolo Lake Trailhead,1.41033,0.04,1,2,16,0,13.1800003,,,
76,202154,38.75922,-109.32404,Hittle Bottom Campground,6.40522,0.2,2,2,19,0,13.1700001,,,
3924,235390,48.07691995,-121.7459297,Lake Twenty Two Trailhead,1.43782,0.04,1,2,6,0,13.1700001,,,
12638,245619,37.2274,-118.6268,North Lake Campground,1.05908,0.03,1,2,20,0,13.1700001,,,
12816,245805,39.05181076,-108.0934728,Sunset Boat Access- Grand Valley RD,5.10324,0.16,2,3,8,0,13.1700001,,,
15572,249174,35.75669708,-105.6613534,Links Tract Campground,3.07894,0.1,2,2,9,0,13.1700001,,,
16797,250429,42.03912993,-123.1428533,Kermit Viewpoint,0.94789,0.03,1,2,8,0,13.1700001,,,
1604,233002,56.64611111,-133.25,CASTLE FLATS CABIN,0,0,0,3,8,0,13.1599998,,,
8677,241151,40.080005,-105.532667,Brainard Gateway Trailhead,2.86844,0.09,2,3,8,0,13.1599998,,,
13958,247305,41.289948,-111.638684,Perception Park Group Sites,5.40439,0.17,2,2,14,0,13.1599998,,,
14153,247596,37.48805556,-106.4686111,FITTON GUARD STATION CABIN,2.20775,0.07,2,2,9,0,13.1599998,,,
16498,250129,42.97742,-122.68686,Devil's Flat Campground,0.00196,0,0,3,7,0,13.1599998,,,
2750,234158,42.59388889,-124.1283333,LAKE OF THE WOODS LOOKOUT,0,0,0,3,7,0,13.1499996,,,
4619,236336,55.4297,-131.2871,Shoal Cove - Osten Island Buoy Boating Site,0,0,0,3,6,0,13.1499996,,,
16478,250109,42.976111,-122.6874,Cover Campground,0,0,0,3,7,0,13.1499996,,,
5157,236993,43.714808,-121.77313,West South Twin Boating Site,0.00644,0,0,3,9,0,13.1400003,,,
7880,240286,45.139315,-116.013749,Upper Payette Lake Dispersed Camping Area,1.81999,0.06,1,3,11,0,13.1400003,,,
16570,250201,30.1651,-84.6755,Whitehead Landing,0.66889,0.02,0,2,9,0,13.1400003,,,
657,232047,39.11388889,-120.4238889,FRENCH MEADOWS,0.97201,0.03,1,2,10,0,13.1300001,,,
5234,237074,43.72885,-121.19517,Cinder Hill Boating Site (South),0.21056,0.01,0,3,8,0,13.1300001,,,
5242,237082,43.7203,-121.19756,Hot Springs Boating Site,0.23596,0.01,0,3,8,0,13.1300001,,,
9458,241959,47.419132,-120.939009,DeRoux Trailhead,0.45402,0.01,0,3,8,0,13.1300001,,,
12448,245371,37.919,-111.828,Long & Round Willow Bottom Loop - #34001.5 & 34036,0,0,0,2,10,0,13.1300001,,,
1789,233189,39.05305556,-108.0936111,JUMBO CAMPGROUND,5.0913,0.16,2,3,8,0,13.1199999,,,
5156,236992,43.71478,-121.7727,West South Twin Campground,0.00644,0,0,3,9,0,13.1199999,,,
63,202133,39.0789,-110.6647,San Rafael Bridge Campground,0.6825,0.02,0,2,23,0,13.1099997,,,
4579,236281,55.39037,-131.19675,Gokachin Lake Trailhead,0,0,0,3,6,0,13.1099997,,,
12120,244993,39.32059823,-105.1877734,Ouzel Campground,2.32277,0.07,2,2,11,0,13.1099997,,,
6801,238976,47.39046032,-123.6022781,Wynoochee Lake Shore Trailhead - Coho Campground,0.28745,0.01,0,3,6,0,13.1000004,,,
694,232084,41.28972222,-111.6405556,PERCEPTION PARK,5.1937,0.16,2,2,14,0,13.0900002,,,
983,232373,48.07388889,-121.6966667,Esswine Group Camp,1.50325,0.05,1,2,6,0,13.0799999,,,
1716,233114,48.07,-121.6766667,Boardman Group Camp,1.57652,0.05,1,2,6,0,13.0799999,,,
11186,243902,39.1877,-116.7905,Toquima Cave Campground,1.65084,0.05,1,2,17,0,13.0799999,,,
17760,251411,43.5408,-122.448,Middle Fork Willamette Trailhead at Road 2127,0,0,0,2,7,0,13.0799999,,,
45,202093,43.97657,-114.06688,Garden Creek Campground,3.16386,0.1,2,3,19,0,13.0699997,,,
3208,234618,45.765,-114.2805556,ROMBO,3.77387,0.12,2,3,9,0,13.0699997,,,
7899,240306,44.9400302,-116.65491,Lafferty Campground,1.46405,0.05,1,3,9,0,13.0699997,,,
12466,245389,37.908,-111.846,Long Willow Bottom,0,0,0,2,8,0,13.0699997,,,
15534,249136,35.76946582,-105.7001638,Holy Ghost Campground,2.20506,0.07,2,2,8,0,13.0699997,,,
1479,232877,37.365,-119.3522222,SWEETWATER,2.25322,0.07,2,2,11,0,13.0600004,,,
5146,236982,43.71475,-121.7713,South Twin Lake Campground,0.00644,0,0,3,9,0,13.0600004,,,
661,232051,48.07833333,-121.7375,Gold Basin Campground,1.46793,0.05,1,2,6,0,13.0500002,,,
5148,236984,43.71474,-121.77106,South Twin Day Use Area,0.00644,0,0,3,9,0,13.0500002,,,
10550,243185,43.7101,-102.7952,Buffalo Gap National Grassland,0.53295,0.02,0,2,19,0,13.0500002,,,
15523,249125,35.76798583,-105.6984589,Holy Ghost Trailhead,1.41778,0.04,1,2,8,0,13.0500002,,,
3311,234721,57.90028056,-135.1575889,KENNEL CREEK CABIN (AK),0,0,0,3,5,0,13.04,,,
3788,235232,48.07877222,-121.7439639,Hemple Creek Picnic Area,1.82278,0.06,1,2,6,0,13.04,,,
4783,236590,40.837247,-110.001028,Spirit Lake Campground,1.67308,0.05,1,2,8,0,13.04,,,
16941,250576,42.80705414,-124.008206,Big Tree Observation Site,0,0,0,2,6,0,13.04,,,
6802,238977,47.41284013,-123.4285088,Spider Lake Trailhead,0.42251,0.01,0,3,7,0,13.0299997,,,
7605,239985,44.56893392,-115.0714306,Rapid River Trailhead,2.84569,0.09,2,2,18,0,13.0299997,,,
8056,240483,44.0129735,-103.8130483,Lake Shore Picnic Area,1.23335,0.04,1,3,10,0,13.0299997,,,
17754,251405,44.301992,-119.662685,South Prong Trailhead,1.61204,0.05,1,2,11,0,13.0299997,,,
1765,233163,46.67027778,-90.04972222,BLACK RIVER HARBOR PAVILION,0,0,0,2,6,0,13.0200005,,,
5053,236884,44.302244,-119.662913,Mud Springs Horse Camp,1.61204,0.05,1,2,11,0,13.0200005,,,
12449,245372,37.906,-111.849,Griffin Spur - #34037,0.00923,0,0,2,8,0,13.0200005,,,
15271,248870,47.384071,-123.605746,Wynoochee Lakeshore Trailhead - Tacoma Power Dam,0.08916,0,0,3,6,0,13.0200005,,,
3783,235227,48.05814464,-121.7968329,Mount Pilchuck Lookout,1.44642,0.05,1,2,11,0,13.0100002,,,
15272,248871,47.392447,-123.603738,Working Forest Interpretive Trailhead,0.24366,0.01,0,3,6,0,13.0100002,,,
1660,233058,55.56055556,-132.5761111,KARTA RIVER CABIN,0,0,0,3,8,0,13,,,
12844,245834,38.6550112,-106.5744758,Gold Creek Campground - Gunnison RD,1.55305,0.05,1,2,9,0,13,,,
16821,250453,42.087,-123.412,Limestone Trailhead,0.65944,0.02,0,3,7,0,13,,,
7665,240046,38.367,-109.157,Two-Mile Area,1.02377,0.03,1,3,16,0,12.9899998,,,
10873,243574,37.01127451,-119.0627124,Buck Meadow Campground,1.57932,0.05,1,2,10,0,12.9899998,,,
15119,248668,39.122778,-120.425278,McGuire Boat Ramp,0.7615,0.02,0,2,8,0,12.9899998,,,
16860,250493,42.04813979,-123.104729,Payette - French Gulch Campground Trailhead,0,0,0,2,9,0,12.9799995,,,
16948,250583,42.04812511,-123.1047365,French Gulch Trailhead,0,0,0,2,9,0,12.9799995,,,
16993,250631,42.0481982,-123.1064502,French Gulch Boat Ramp,0,0,0,2,9,0,12.9799995,,,
8384,240839,32.746822,-105.76082,Sacramento Lookout,1.49395,0.05,1,2,9,0,12.9700003,,,
9584,242123,47.9726,-120.79,Estes Butte Trailhead,0.87858,0.03,1,2,7,0,12.9700003,,,
15462,249064,39.72,-120.979,Peninsula Tent Campground,0.83429,0.03,1,2,11,0,12.9700003,,,
1813,233213,39.05222222,-108.0977778,MOOSE MANOR,2.79618,0.09,2,3,8,0,12.96,,,
1983,233384,47.45805556,-123.6022222,COHO CAMPGROUND,0.25906,0.01,0,3,9,0,12.96,,,
3113,234523,42.6775,-110.6675,CAZIER CABIN,0.69441,0.02,0,3,13,0,12.96,,,
3431,234845,47.86146,-115.20282,Fishtrap Lake Campground,0.44456,0.01,0,2,8,0,12.96,,,
5343,237187,48.943439,-115.889317,Little Therriault Lake,1.04672,0.03,1,3,6,0,12.96,,,
7779,240173,39.074328,-111.497405,Emerald Lake,0.48355,0.02,0,2,14,0,12.96,,,
502,231892,35.77777778,-105.7041667,HOLY GHOST GROUP AREA,1.33491,0.04,1,2,8,0,12.9499998,,,
806,232196,33.87305556,-109.4130556,GRAYLING,2.99846,0.09,2,2,8,0,12.9499998,,,
9192,241684,33.87607222,-109.4147639,Big Lake Boating/ Launch Site Boating Site,1.16376,0.04,1,2,8,0,12.9499998,,,
9459,241961,47.436737,-120.937056,Esmeralda Trailhead,0.30921,0.01,0,3,8,0,12.9499998,,,
9633,242174,47.9744,-120.802,Schaefer Creek Campground,0.59102,0.02,0,2,6,0,12.9499998,,,
9579,242117,47.9725,-120.792,Chiwawa Horse Camp,0.81414,0.03,1,2,6,0,12.9399996,,,
10887,243590,37.38105522,-119.3887498,Soda Springs Campground,3.31777,0.1,2,3,11,0,12.9399996,,,
2407,233812,37.98111111,-105.0502778,LAKE ISABEL CABIN,3.62459,0.11,2,3,9,0,12.9300003,,,
2486,233891,48.46583333,-121.1677778,Mineral Park Campground,0.53619,0.02,0,3,6,0,12.9300003,,,
4971,236797,31.7708,-93.9327,Haley's Ferry Boat Ramp: (409) 625-1940,0.36102,0.01,0,2,10,0,12.9300003,,,
15843,249448,37.3777,-106.5737,Stunner Campground,2.59757,0.08,2,3,7,0,12.9300003,,,
714,232104,40.99231389,-110.3896389,STATELINE,0.92237,0.03,1,3,9,0,12.9099998,,,
3584,235004,41.58874,-123.14699,Lovers Camp Campground,0.42637,0.01,0,2,6,0,12.9099998,,,
3873,235339,48.08308922,-121.7738825,Heather Lake Trailhead,1.10959,0.03,1,2,7,0,12.9099998,,,
10252,242867,34.868562,-119.22672,Caballo Campground,2.14622,0.07,2,2,16,0,12.9099998,,,
16475,250106,43.312114,-122.15535,Inlet Campground,1.58398,0.05,1,2,8,0,12.9099998,,,
16862,250495,42.04962744,-123.0635637,Little Grayback Lower Trailhead,0.11591,0,0,2,7,0,12.9099998,,,
8253,240693,45.63737,-116.00952,Rocky Bluff Campground,1.75364,0.05,1,3,8,0,12.8900003,,,
13650,246943,41.28632,-111.640663,South Fork Ogden River,4.57105,0.14,2,2,14,0,12.8900003,,,
16813,250445,42.46617049,-124.1611668,Wildhorse Meadow Dispersed Camping,0,0,0,3,8,0,12.8900003,,,
769,232159,39.30833333,-106.6330556,CHAPMAN CAMPGROUND AND GROUP,0.30349,0.01,0,3,9,0,12.8800001,,,
802,232192,33.87555556,-109.4130556,BROOKCHAR,2.99846,0.09,2,2,8,0,12.8800001,,,
8710,241184,40.01521733,-105.5721921,Rainbow Lakes Trailhead,1.59768,0.05,1,3,8,0,12.8800001,,,
13063,246082,46.02233135,-117.5465816,Three Forks Trailhead,1.03833,0.03,1,3,11,0,12.8800001,,,
17035,250673,42.05057158,-123.1256074,Da-Ku-Be-Te-De - Hart-tish Park Trailhead,0.51191,0.02,0,2,8,0,12.8800001,,,
17776,251427,30.218691,-84.883417,Vilas Campsite,1.54463,0.05,1,2,9,0,12.8800001,,,
5031,236861,44.33238009,-119.992617,Big Spring Campground,0.6005,0.02,0,2,10,0,12.8699999,,,
7884,240290,44.629789,-116.935351,Hitt Mountain Dispersed Campground and Trailhead,1.80502,0.06,1,3,11,0,12.8699999,,,
15547,249149,36.11174181,-106.748667,Resumidero Camping Area,1.78703,0.06,1,3,10,0,12.8699999,,,
16784,250415,42.05127264,-123.1315473,Collings Mountain - Hart-tish Park Trailhead,0.68862,0.02,0,2,8,0,12.8699999,,,
2526,233931,37.92055556,-111.8152778,BARKER RECREATION AREA,0.68812,0.02,0,2,8,0,12.8599997,,,
3896,235362,48.069028,-121.643697,Youth-On-Age Nature Trailhead,1.13605,0.04,1,2,7,0,12.8599997,,,
5994,238076,43.93964,-115.28403,Johnson Creek Campground,2.42902,0.08,2,2,11,0,12.8599997,,,
12473,245412,37.906,-111.843,Round Willow Bottom,0.08029,0,0,2,8,0,12.8599997,,,
886,232276,36.30986389,-115.6066639,HILLTOP,4.68418,0.15,2,2,15,0,12.8500004,,,
